departure port;arrival port;vessel name;departure date;arrival date
Antwerp;Chennai;Genova Express;2026-09-01;2026-09-21
Antwerp;Singapore;Linah;2026-09-04;2026-09-26
Hamburg;Gdansk;Gdansk Express;2026-09-01;2026-09-04
Hamburg;Gdansk;Gdansk Express;2026-09-09;2026-09-12
Hamburg;Gdansk;Gdansk Express;2026-09-17;2026-09-20
Hamburg;Gdansk;Gdansk Express;2026-09-25;2026-09-28
Hamburg;Gdansk;Gdansk Express;2026-10-03;2026-10-06
Hamburg;Gdansk;Gdansk Express;2026-10-11;2026-10-14
Hamburg;Gdansk;Gdansk Express;2026-10-19;2026-10-22
Hamburg;Gdansk;Gdansk Express;2026-10-27;2026-10-30
Busan;Bremen;Berlin Express;2026-10-03;2026-10-31
Busan;Rotterdam;Busan Express;2026-10-03;2026-10-31
Chennai;Antwerp;Genova Express;2026-09-24;2026-10-14
Gdansk;Hamburg;Gdansk Express;2026-09-05;2026-09-08
Gdansk;Hamburg;Gdansk Express;2026-09-13;2026-09-16
Gdansk;Hamburg;Gdansk Express;2026-09-21;2026-09-24
Gdansk;Hamburg;Gdansk Express;2026-09-29;2026-10-02
Gdansk;Hamburg;Gdansk Express;2026-10-07;2026-10-10
Gdansk;Hamburg;Gdansk Express;2026-10-15;2026-10-18
Gdansk;Hamburg;Gdansk Express;2026-10-23;2026-10-26
Gdynia;Bremen;New York Express;2026-09-01;2026-09-03
Gdynia;Bremen;New York Express;2026-09-07;2026-09-09
Gdynia;Bremen;New York Express;2026-09-13;2026-09-15
Gdynia;Bremen;New York Express;2026-09-19;2026-09-21
Gdynia;Bremen;New York Express;2026-09-25;2026-09-27
Gdynia;Bremen;New York Express;2026-10-01;2026-10-03
Gdynia;Bremen;New York Express;2026-10-07;2026-10-09
Gdynia;Bremen;New York Express;2026-10-13;2026-10-15
Gdynia;Bremen;New York Express;2026-10-19;2026-10-21
Gdynia;Bremen;New York Express;2026-10-25;2026-10-27
Bremen;Busan;Berlin Express;2026-09-01;2026-09-29
Bremen;Gdynia;New York Express;2026-09-04;2026-09-06
Bremen;Gdynia;New York Express;2026-09-10;2026-09-12
Bremen;Gdynia;New York Express;2026-09-16;2026-09-18
Bremen;Gdynia;New York Express;2026-09-22;2026-09-24
Bremen;Gdynia;New York Express;2026-09-28;2026-09-30
Bremen;Gdynia;New York Express;2026-10-04;2026-10-06
Bremen;Gdynia;New York Express;2026-10-10;2026-10-12
Bremen;Gdynia;New York Express;2026-10-16;2026-10-18
Bremen;Gdynia;New York Express;2026-10-22;2026-10-24
Bremen;Gdynia;New York Express;2026-10-28;2026-10-30
Bremen;Singapore;Hamburg Express;2026-09-03;2026-09-25
Klaipeda;Lubeck;Essen Express;2026-09-01;2026-09-03
Klaipeda;Lubeck;Essen Express;2026-09-07;2026-09-09
Klaipeda;Lubeck;Essen Express;2026-09-13;2026-09-15
Klaipeda;Lubeck;Essen Express;2026-09-19;2026-09-21
Klaipeda;Lubeck;Essen Express;2026-09-25;2026-09-27
Klaipeda;Lubeck;Essen Express;2026-10-01;2026-10-03
Klaipeda;Lubeck;Essen Express;2026-10-07;2026-10-09
Klaipeda;Lubeck;Essen Express;2026-10-13;2026-10-15
Klaipeda;Lubeck;Essen Express;2026-10-19;2026-10-21
Klaipeda;Lubeck;Essen Express;2026-10-25;2026-10-27
Lubeck;Klaipeda;Essen Express;2026-09-04;2026-09-06
Lubeck;Klaipeda;Essen Express;2026-09-10;2026-09-12
Lubeck;Klaipeda;Essen Express;2026-09-16;2026-09-18
Lubeck;Klaipeda;Essen Express;2026-09-22;2026-09-24
Lubeck;Klaipeda;Essen Express;2026-09-28;2026-09-30
Lubeck;Klaipeda;Essen Express;2026-10-04;2026-10-06
Lubeck;Klaipeda;Essen Express;2026-10-10;2026-10-12
Lubeck;Klaipeda;Essen Express;2026-10-16;2026-10-18
Lubeck;Klaipeda;Essen Express;2026-10-22;2026-10-24
Lubeck;Klaipeda;Essen Express;2026-10-28;2026-10-30
Rotterdam;Busan;Busan Express;2026-09-02;2026-09-30
Rotterdam;Tokyo;Barzan +48 123 654 7788;2026-09-01;2026-10-01
Singapore;Antwerp;Linah;2026-09-29;2026-10-21
Singapore;Bremen;Hamburg Express;2026-09-28;2026-10-20
